"epoch","training loss","validation loss"
"1","0.0750746","0"
"2","0.0749754","0"
"3","0.0749479","0"
"4","0.0749457","0"
"5","0.0749117","0"
"6","0.07492","0"
"7","0.0749079","0"
"8","0.0748948","0"
"9","0.0749181","0"
"10","0.074915","0"
"11","0.0749235","0"
"12","0.07493","0"
"13","0.0749163","0"
"14","0.0749114","0"
"15","0.0749267","0"
"16","0.0748927","0"
"17","0.074909","0"
"18","0.0749168","0"
"19","0.0749142","0"
"20","0.074908","0"
"21","0.0749189","0"
"22","0.0748967","0"
"23","0.0748954","0"
"24","0.074906","0"
"25","0.0749248","0"
"26","0.0748948","0"
"27","0.0749099","0"
"28","0.0748927","0"
"29","0.0748985","0"
"30","0.0748916","0"
"31","0.0749159","0"
"32","0.0749095","0"
"33","0.0749169","0"
"34","0.0748938","0"
"35","0.0748933","0"
"36","0.0749039","0"
"37","0.0749086","0"
"38","0.0749021","0"
"39","0.0749228","0"
"40","0.0749164","0"
"41","0.0749037","0"
"42","0.0749045","0"
"43","0.0749003","0"
"44","0.0749158","0"
"45","0.0748878","0"
"46","0.0749012","0"
"47","0.0748912","0"
"48","0.0748966","0"
"49","0.0748812","0"
"50","0.0748998","0"
"51","0.0749004","0"
"52","0.0748921","0"
"53","0.0748839","0"
"54","0.0748761","0"
"55","0.0748908","0"
"56","0.0748752","0"
"57","0.0748877","0"
"58","0.0748811","0"
"59","0.0749056","0"
"60","0.0748994","0"
"61","0.0748893","0"
"62","0.0749074","0"
"63","0.0748835","0"
"64","0.0748798","0"
"65","0.0748881","0"
"66","0.0748646","0"
"67","0.0749012","0"
"68","0.074889","0"
"69","0.0748873","0"
"70","0.0748863","0"
"71","0.0748719","0"
"72","0.0748797","0"
"73","0.0748881","0"
"74","0.0748807","0"
"75","0.0748824","0"
"76","0.074896","0"
"77","0.0748893","0"
"78","0.0749002","0"
"79","0.0748859","0"
"80","0.0748864","0"
"81","0.0748774","0"
"82","0.0748933","0"
"83","0.0748666","0"
"84","0.07488","0"
"85","0.074876","0"
"86","0.0748747","0"
"87","0.0748905","0"
"88","0.0749003","0"
"89","0.0748955","0"
"90","0.0748785","0"
"91","0.0748733","0"
"92","0.0748839","0"
"93","0.0748809","0"
"94","0.0748955","0"
"95","0.0748679","0"
"96","0.0748804","0"
"97","0.0748585","0"
"98","0.0748757","0"
"99","0.07488","0"
"100","0.0748909","0"
"101","0.0748753","0"
"102","0.0748767","0"
"103","0.074867","0"
"104","0.0748791","0"
"105","0.0748752","0"
