"epoch","training loss","validation loss"
"268","0.0741217","0"
"269","0.0740987","0"
"270","0.0741091","0"
"271","0.0741219","0"
"272","0.0741251","0"
"273","0.0741036","0"
"274","0.0741128","0"
"275","0.074109","0"
"276","0.0741107","0"
"277","0.0740992","0"
"278","0.0741436","0"
"279","0.0741246","0"
"280","0.074125","0"
"281","0.07411","0"
"282","0.0741089","0"
"283","0.0741264","0"
"284","0.0741246","0"
"285","0.0741161","0"
"286","0.0741353","0"
"287","0.0741352","0"
"288","0.074111","0"
"289","0.0741198","0"
"290","0.0741213","0"
"291","0.0741268","0"
"292","0.0741057","0"
"293","0.0741242","0"
"294","0.0741006","0"
"295","0.0741135","0"
"296","0.0741098","0"
"297","0.0741095","0"
"298","0.0741222","0"
"299","0.0741121","0"
"300","0.0740991","0"
"301","0.0740975","0"
"302","0.0741154","0"
"303","0.0740972","0"
"304","0.0741078","0"
"305","0.0741147","0"
"306","0.0741216","0"
"307","0.074123","0"
"308","0.0741099","0"
"309","0.0741239","0"
"310","0.0740986","0"
"311","0.0741025","0"
"312","0.074112","0"
"313","0.0740867","0"
"314","0.074119","0"
"315","0.0741179","0"
"316","0.0741039","0"
"317","0.0741048","0"
"318","0.0740963","0"
"319","0.0741024","0"
"320","0.0741175","0"
"321","0.0741014","0"
"322","0.0741169","0"
"323","0.074114","0"
"324","0.0741219","0"
"325","0.0741137","0"
"326","0.0741208","0"
"327","0.0741043","0"
"328","0.0741096","0"
"329","0.0741172","0"
"330","0.0740946","0"
"331","0.074101","0"
"332","0.0740986","0"
"333","0.0741103","0"
"334","0.0741102","0"
"335","0.0741219","0"
"336","0.0741209","0"
"337","0.0740922","0"
"338","0.0741156","0"
"339","0.0740998","0"
"340","0.074107","0"
"341","0.0741319","0"
"342","0.0740896","0"
"343","0.0741148","0"
"344","0.0740992","0"
"345","0.0740983","0"
"346","0.0741081","0"
"347","0.0741198","0"
"348","0.0740982","0"
"349","0.0741157","0"
"350","0.0740962","0"
"351","0.0740995","0"
"352","0.0741131","0"
"353","0.0741064","0"
"354","0.074104","0"
